"codendereco","rua","modulo","posicao","tipo"
"05-15-16","05","15","16",COLEÇÃO
"05-15-17","05","15","17",COLEÇÃO
"05-15-18","05","15","18",COLEÇÃO
"05-15-19","05","15","19",COLEÇÃO
"05-15-20","05","15","20",COLEÇÃO
"05-15-21","05","15","21",COLEÇÃO
"05-15-22","05","15","22",COLEÇÃO
"05-15-23","05","15","23",COLEÇÃO
"05-15-24","05","15","24",COLEÇÃO
"05-16-01","05","16","01",COLEÇÃO
"05-16-02","05","16","02",COLEÇÃO
"05-16-03","05","16","03",COLEÇÃO
"05-16-04","05","16","04",COLEÇÃO
"05-16-05","05","16","05",COLEÇÃO
"05-16-06","05","16","06",COLEÇÃO
"05-16-07","05","16","07",COLEÇÃO
"05-16-08","05","16","08",COLEÇÃO
"05-16-09","05","16","09",COLEÇÃO
"05-16-10","05","16","10",COLEÇÃO
"05-16-11","05","16","11",COLEÇÃO
"05-16-12","05","16","12",COLEÇÃO
"05-16-13","05","16","13",COLEÇÃO
"05-16-14","05","16","14",COLEÇÃO
"05-16-15","05","16","15",COLEÇÃO
"05-16-16","05","16","16",COLEÇÃO
"05-16-17","05","16","17",COLEÇÃO
"05-16-18","05","16","18",COLEÇÃO
"05-16-19","05","16","19",COLEÇÃO
"05-16-20","05","16","20",COLEÇÃO
"05-16-21","05","16","21",COLEÇÃO
"05-16-22","05","16","22",COLEÇÃO
"05-16-23","05","16","23",COLEÇÃO
"05-16-24","05","16","24",COLEÇÃO
"05-17-01","05","17","01",COLEÇÃO
"05-17-02","05","17","02",COLEÇÃO
"05-17-03","05","17","03",COLEÇÃO
"05-17-04","05","17","04",COLEÇÃO
"05-17-05","05","17","05",COLEÇÃO
"05-17-06","05","17","06",COLEÇÃO
"05-17-07","05","17","07",COLEÇÃO
"05-17-08","05","17","08",COLEÇÃO
"05-17-09","05","17","09",COLEÇÃO
"05-17-10","05","17","10",COLEÇÃO
"05-17-11","05","17","11",COLEÇÃO
"05-17-12","05","17","12",COLEÇÃO
"05-17-13","05","17","13",COLEÇÃO
"05-17-14","05","17","14",COLEÇÃO
"05-17-15","05","17","15",COLEÇÃO
"05-17-16","05","17","16",COLEÇÃO
"05-17-17","05","17","17",COLEÇÃO
"05-17-18","05","17","18",COLEÇÃO
"05-17-19","05","17","19",COLEÇÃO
"05-17-20","05","17","20",COLEÇÃO
"05-17-21","05","17","21",COLEÇÃO
"05-17-22","05","17","22",COLEÇÃO
"05-17-23","05","17","23",COLEÇÃO
"05-17-24","05","17","24",COLEÇÃO
"05-18-01","05","18","01",COLEÇÃO
"05-18-02","05","18","02",COLEÇÃO
"05-18-03","05","18","03",COLEÇÃO
