"usuario","codbarrastag","codreduzido","Endereco","engenharia","DataReposicao","EngenhariaPai","descricao","epc","StatusEndereco","numeroop","cor","tamanho","totalop","situacaoinventario"
"2410","01000059887001000011","598870","02-46-11","010462057-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO NUT PP MESCLA,"3035E2C81C006400000001FB",,"108101-001","248",PP,"207",
"2410","01000061251501000168","612515","02-46-11","010462092-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MPENTEADA HEAR PP MINERAL,"3035E2C81C04A280000003F9",,"110967-001","950",PP,"359",
"2410","01000062439001000053","624390","02-46-11","010462087-0","2023-06-28 11:01:32",,T-SHIRT O MC SLIM FITNNES CITRIC PP NOTURNO,"3035E2C81C0F5F8000000188",,"108664-003","416",PP,"283",
"2410","01000059809501000064","598095","02-46-11","010462055-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO ANGUILLA PP VALE,"3035E2C81C00618000000238",,"111123-001","123",PP,"75",
"2410","01000061383701000068","613837","02-46-11","010462090-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM  PIMA BASIC PP TOMATE,"3035E2C81C09040000000432",,"111934-001","205",PP,"152",
"2410","01000060370804000753","603708","02-46-11","010462064-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM SUBLIMADA TANNIS G BRANCO,"3035E2C81C035E4000000277",,"112025-001","201",G,"178",
"2410","01000059860702000039","598607","02-46-11","010462055-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO ANGUILLA P NOZES,"3035E2C81C006180000001E7",,"108656-001","225",P,"483",
"2410","01000062439001000029","624390","02-46-11","010462087-0","2023-06-28 11:01:32",,T-SHIRT O MC SLIM FITNNES CITRIC PP NOTURNO,"3035E2C81C0F5F8000000185",,"108664-003","416",PP,"283",
"2410","01000061383701000050","613837","02-46-11","010462090-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM  PIMA BASIC PP TOMATE,"3035E2C81C09040000000431",,"111934-001","205",PP,"152",
"2410","01000059711903002512","597119","02-46-11","010462063-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MDIFERENCIADA TRINY M PRETO,"3035E2C3F45640400000042F",,"111124-001","210",M,"224",
"2410","01000062440904000026","624409","02-46-11","010462087-0","2023-06-28 11:01:32",,T-SHIRT O MC SLIM FITNNES CITRIC G BRANCO,"3035E2C81C0F5F800000020F",,"108664-003","201",G,"283",
"2410","01000062439001000011","624390","02-46-11","010462087-0","2023-06-28 11:01:32",,T-SHIRT O MC SLIM FITNNES CITRIC PP NOTURNO,"3035E2C81C0F5F8000000184",,"108664-003","416",PP,"283",
"2410","01000059887902000445","598879","02-46-11","010462057-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO NUT P PRETO,"3035E2C81C006400000004B1",,"110750-001","210",P,"402",
"2410","01000059711903001809","597119","02-46-11","010462063-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MDIFERENCIADA TRINY M PRETO,"3035E2C3F4564040000002B9",,"108978-001","210",M,"334",
"2410","01000060370804000907","603708","02-46-11","010462064-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM SUBLIMADA TANNIS G BRANCO,"3035E2C81C035E4000000286",,"112025-001","201",G,"178",
"2367","01000067322302000471","673223","11-60-12","010465039-0","2023-06-28 21:36:30",,TSHIRT O MC SLIM MPENT ROCK PR PAI KIDS 4 PRETO,"3035E2C81C2ECA4000000070",,"115554-001","210","4","120",OK
"2410","01000065493404000239","654934","02-45-10","010464014-0",,,TSHIRT O MC SLIM MPENTEADA CB PLANT G SELVA,"3035E2C81C228FC0000002F1",,"118900-001","729",G,"127",
"2410","01000065515605000222","655156","02-45-10","010464014-0",,,TSHIRT O MC SLIM MPENTEADA CB PLANT GG MABEL,"3035E2C81C228FC0000002B4",,"117848-001","118",GG,"221",
"2449","01000056173101000406","561731","06-48-11","010460510-0","2023-06-27 10:25:13",,BERMUDA MOLETINHO BASICO PACK,"3035E2C3F429EA4000001A47",,"120972-001","416",PP,"188",OK
"2410","01000065515605000109","655156","02-45-10","010464014-0",,,TSHIRT O MC SLIM MPENTEADA CB PLANT GG MABEL,"3035E2C81C228FC000000221",,"117848-001","118",GG,"221",
"2410","01000065493303000706","654933","02-45-10","010464014-0",,,TSHIRT O MC SLIM MPENTEADA CB PLANT M SELVA,"3035E2C81C228FC000000046",,"112672-001","729",M,"76",
"2410","01000065493404000213","654934","02-45-10","010464014-0",,,TSHIRT O MC SLIM MPENTEADA CB PLANT G SELVA,"3035E2C81C228FC0000002EF",,"118900-001","729",G,"127",
"2410","01000065493404000344","654934","02-45-10","010464014-0",,,TSHIRT O MC SLIM MPENTEADA CB PLANT G SELVA,"3035E2C81C228FC0000002FC",,"118900-001","729",G,"127",
"2410","01000065544604000137","655446","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS G BRANCO,"3035E2C81C23064000000189",,"118266-001","201",G,"123",
"2410","01000065543102000089","655431","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS P GUACHE,"3035E2C81C23064000000148",,"118266-001","216",P,"123",
"2410","01000065542801000059","655428","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS PP BRANCO,"3035E2C81C230640000001FD",,"118899-001","201",PP,"92",
"2410","01000065543102000047","655431","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS P GUACHE,"3035E2C81C2306400000008A",,"117159-001","216",P,"185",
